ClipNumber,Dialogue,Speaker,Recipient,RecipientType
3,"You saw the people that ended up with fifth, sixth, and seventh weren't too happy about the politics that were involved, but hey, what can you do about that? You win some, you lose some.",Rob,Camera,
3,Those fries look so good.,ShiiAnn,Rob,One Person
3,"Thank you, sir.",Rupert,Server,
3,I'm chewing my rice and thinking that I'm eating that piece of steak that Rupert's holding in his hands.,ShiiAnn,Tribe,A Group
3,I can't even look up at you guys.,Rupert,Tribe,A Group
3,Don't look up. Just eat.,ShiiAnn,Rupert,One Person
3,Yeah you don't need to look at us.,Jenna,Rupert,
3,"ShiiAnn's an absolutely obnoxious person. The whole time she's like, ""this rice is good. Oh, my gosh, ooh, look at that steak, I just want to watch you eat it.""",Jenna,Camera,
3,If only I could have a piece of that steak.,ShiiAnn,Rupert,One Person
3,I wish I could give you guys all some.,Rupert,ShiiAnn,A Group
3,I know.,ShiiAnn,Rupert,One Person
3,Shut up! It's obnoxious!,Jenna,Camera,
3,"Thank you, sir.",Rupert,Server,
3,Big Tom. I'm drinking this for you.,Rupert,Tom,One Person
3,"So the dinner was nice. And Rupert, of course, had eight or nine beers and he was plastered. Plastered!",Alicia,Camera,
3,"Thank you, sir.",Rupert,Server,
3,Smell your napkin.,Jenna,Tribe,A Group
3,It's so nice and soft. I'm taking- We're taking advantage of this.,Amber,Tribe,A Group
3,Good.,Rupert,Amber,A Group
3,Rupert keep drinking.,Rob,Rupert,One Person
3,Okay.,Rupert,Rob,One Person
3,"We really wanted to stay at the restaurant for as long as we possibly could, 'cause we just dreaded coming back here with all the bugs and the really long night. So we told Rupert, ""Keep drinking as much as you want."" We're just going to lay here on the table and use these napkins as pillows and enjoy it.",Amber,Camera,
3,Rupert's a happy man.,Tom,Tribe,A Group
3,"Basically, Rupert exposed our alliance of four. It was pretty evident, uh, as to who got what food. He's kind of sticking it in their face, which kind of shows me that he does trust myself and Amber to a degree.",Rob,Camera,
3,"Chaboga Mogo. Chaboga Mogo- The sun is out, and we're going to have a beautiful day.",Rob,Tribe,Two People
3,We are going to have a beautiful day.,Jenna,Tribe,Two People
3,We're gonna kick ShiiAnn's ass off. We won't have to listen to her anymore.,Rob,Tribe,Two People
3,I'm going to try so hard at the immunity today.,ShiiAnn,Rupert,One Person
3,"I'm going to battle 'cause I got to, but I'm not going to kill myself to win 'cause I hope that I'm not on the chopping block.",Rupert,ShiiAnn,One Person
3,I don't think you are.,ShiiAnn,Rupert,One Person
3,"And, I wouldn't mind seeing you win immunity.",Rupert,ShiiAnn,One Person
3,"You got to be looking at Rob. I would be if I were you. If I were anyone here, I would be looking at Rob.",ShiiAnn,Rupert,One Person
3,Oh my gosh I've already talked to Jenna about that.,Rupert,ShiiAnn,One Person
3,Of course you have.,ShiiAnn,Rupert,One Person
3,"But they're telling me they'll take me to the final four, too, but I know I'll be fourth unless I win immunity.",Rupert,ShiiAnn,One Person
3,There are people here that would switch their vote tonight if they felt like they had the majority.,ShiiAnn,Rupert,One Person
3,Yeah.,Rupert,ShiiAnn,One Person
3,We know that.,ShiiAnn,Rupert,One Person
3,I know that.,Rupert,ShiiAnn,One Person
3,There are people here.,ShiiAnn,Rupert,One Person
3,Let me..hand me...while you're over. give me that solid piece. See that good little piece right here?,Tom,Alicia,One Person
3,"Yep. So, uh...who's up on the...?",Alicia,Tom,One Person
3,Chop Block?,Tom,Alicia,One Person
3,Yep.,Alicia,Tom,One Person
3,It's him before ShiiAnn.,Tom,Alicia,One Person
4,"Rupert before ShiiAnn. I was thinking that today. I was looking at everybody today, and I was kind of sizing up.",Alicia,Tom,One Person
4,"All I'm saying, we got... me and you got to stick together, Alicia.",Tom,Alicia,One Person
4,"Absolutely. And I'll tell you what, though if either one of us are up against Amber or Boston Rob we're in trouble",Alicia,Tom,One Person
4,But you know as well as I do me and you are the lone horse here.,Tom,Alicia,One Person
4,Yep. And those two are going to stick together no matter what.,Alicia,Tom,One Person
4,They're lovers.,Tom,Alicia,One Person
4,I know.,Alicia,Tom,One Person
4,But you know what? We may have not slept together but we...we snuggled pretty close.,Tom,Alicia,One Person
4,That's right.,Alicia,Tom,One Person
4,Here's the thing if ShiiAnn wins immunity today.,Rob,Tom,One Person
4,"We decided, Big Tom, Rob, Amber, and myself, that we were going to stay together to the very end. That's four people. So no matter what happens in this tribe, we are four to the other three. Then there's Big Tom. He came to me and said, you know, ""I can't sit next to Boston Rob or Amber. I'll never win. Maybe I should sit next to you."" And I said, ""You know what? Maybe you're right."" But I didn't make any deal with him. The only person I have an alliance with at this point is Boston Rob, and we shook on it. But do I trust him? Absolutely not.",Alicia,Camera,
4,Here's the thing. If ShiiAnn wins immunity today.,Rob,Tom,
4,It'd be a miracle.,Tom,Rob,One Person
4,"Yeah I know, but still, we have to decide.",Rob,Tom,One Person
4,"Rob, let's just face it it's gonna hurt you more than it will me. You got a better chance at winning than I have.",Tom,Rob,One Person
4,"I need to win, like almost every one, Tom. I know what people think around the camp. I know even though Rupert pretends he's all nice - last night he gave me a hamburger - I can read beyond that, you know?",Rob,Tom,One Person
4,If ShiiAnn wins immunity I don't know who we're gonna kick off.,Rob,Camera,
4,You're worried about ShiiAnn. I'm worried about Rupert. Because he's the one that's gonna beat you in an immunity. ShiiAnn ain't gonna beat you.,Tom,Rob,One Person
4,All right.,Rob,Tom,One Person
4,"Uh, Alicia ain't gonna beat you. But we can't beat Rupert. You're gonna come close, but he's gonna beat you before it's over.",Tom,Rob,One Person
4,Right.,Rob,Tom,One Person
4,"And then when he does, you know who they want to get rid of? It ain't gonna be me",Tom,Rob,One Person
4,"No, it'll be me.",Rob,Tom,One Person
4,It's you.,Tom,Rob,One Person
4,"Yeah, we should talk, actually I have some news.",ShiiAnn,Alicia,One Person
4,I don't want to even hear it. Honestly.,Alicia,ShiiAnn,One Person
4,That's fine.,ShiiAnn,Alicia,One Person
4,"There is a plan, ShiiAnn and it's too late for anything to change.",Alicia,ShiiAnn,One Person
4,"Okay, I appreciate that.",ShiiAnn,Alicia,One Person
4,Yep.,Alicia,ShiiAnn,One Person
4,"There's no denying it - we are getting down to it. There are seven of you left. Today's challenge is for immunity. Very important at this stage of the game. It's a very simple immunity challenge. You're gonna step up on a log. You're gonna raise your hand over your head. Your hand is gonna be tethered to a bucket. That bucket's full of water. When you drop your hand, the bucket tips, you get wet, you're done. If you need immunity, the only thing stopping you from getting it is quitting, and that's it. We got all day to sit out here.",Probst,Tribe,
4,"All right, Boston Rob, give it up.",Probst,Rob,
4,"The all-important immunity is back up for grabs. Take your spots. I'll lock you in. For immunity. Everybody's locked in, and this challenge is officially on. There'll be a little initial pain. You'll work through that. Just remember, there's not a lot of slack in that chain, so if you drop your hand two inches, you're done. You have very little wiggle room in this challenge. Amber's first out.",Probst,Tribe,
4,Grab a seat on the bench.,Probst,Amber,
4,I didn't even move!,Jenna,Tribe,
4,Jenna's out of the game.,Probst,Tribe,
4,You didn't need that immunity anyway. It's all good.,ShiiAnn,Jenna,A Group
4,Nobody knows who's safe.,Jenna,ShiiAnn,One Person
4,"I know I'm not safe, that's for sure.",ShiiAnn,Jenna,A Group
4,Have a seat next to Amber.,Probst,Jenna,
4,"Big Tom, you're struggling.",Probst,Tom,
4,"Oh, Big Tom!",ShiiAnn,Tom,
4,"Big Tom, third person to hit the dust.",Probst,Tribe,
4,"Okay, Rupert you got to hold out before Rob. We can't let Rob keep winning those immunities",ShiiAnn,Rupert,One Person
4,Big Tom's out of the challenge.,Probst,Tribe,
4,Damn straight.,Rupert,ShiiAnn,A Group
4,"Have a seat next to the ladies, Big Tom. You're out of the challenge.",Probst,Tom,
4,"I see ShiiAnn's arm moving a bit, so you guys are good.",Jenna,Tribe,A Group
4,"So Jenna, I take it from that comment there's just no secrets in this tribe right now.",Probst,Jenna,
4,"No. No, there isn't.",Jenna,Probst,
4,"Oh, there are secrets to this tribe. No secret on who they want out tonight, but there's secrets to this tribe.",ShiiAnn,Tribe,A Group
4,Alicia fighting through a little pain.,Probst,Tribe,
4,Be strong Alicia.,Rupert,Alicia,One Person
