"","Target","ChoiceOption","ClipNumber","PID","condType","percent.chosen","Speaker","Recipient","dyad","recent.similarity"
"140","Alicia","Amber",3,27,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"141","Alicia","Amber",3,28,"Win",0.2,"Alicia","Amber","AliciaAmber",0.35860553
"142","Alicia","Amber",3,30,"Rival",1,"Alicia","Amber","AliciaAmber",0.35860553
"143","Alicia","Amber",3,31,"Win",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"144","Alicia","Amber",3,32,"Win",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"145","Alicia","Amber",3,33,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"146","Alicia","Amber",3,34,"Win",0.8,"Alicia","Amber","AliciaAmber",0.35860553
"147","Alicia","Amber",3,35,"Win",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"148","Alicia","Amber",3,36,"Win",1,"Alicia","Amber","AliciaAmber",0.35860553
"149","Alicia","Amber",3,37,"Win",0.2,"Alicia","Amber","AliciaAmber",0.35860553
"150","Alicia","Amber",3,39,"Win",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"151","Alicia","Amber",3,40,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"152","Alicia","Amber",3,41,"Rival",1,"Alicia","Amber","AliciaAmber",0.35860553
"153","Alicia","Amber",3,42,"Win",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"154","Alicia","Amber",3,43,"Win",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"155","Alicia","Amber",3,44,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"156","Alicia","Amber",3,45,"Win",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"157","Alicia","Amber",3,46,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"158","Alicia","Amber",3,47,"Friend",0.75,"Alicia","Amber","AliciaAmber",0.35860553
"159","Alicia","Amber",3,48,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"160","Alicia","Amber",3,49,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.35860553
"161","Alicia","Amber",3,50,"Win",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"162","Alicia","Amber",3,51,"Friend",0.333333333333333,"Alicia","Amber","AliciaAmber",0.35860553
"163","Alicia","Amber",3,52,"Win",0,"Alicia","Amber","AliciaAmber",0.35860553
"164","Alicia","Amber",3,53,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"165","Alicia","Amber",3,54,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.35860553
"166","Alicia","Amber",3,55,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"167","Alicia","Amber",3,56,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"168","Alicia","Amber",3,57,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.35860553
"169","Alicia","Amber",3,58,"Friend",0.5,"Alicia","Amber","AliciaAmber",0.35860553
"170","Alicia","Amber",3,59,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"171","Alicia","Amber",3,60,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.35860553
"172","Alicia","Amber",4,1,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.081375726
"173","Alicia","Amber",4,2,"Rival",0.75,"Alicia","Amber","AliciaAmber",0.081375726
"174","Alicia","Amber",4,3,"Win",1,"Alicia","Amber","AliciaAmber",0.081375726
