"Target","ChoiceOption","ClipNumber","PID","condType","percent.chosen","speaker.sentiment","speaker.clout","overall.sentiment","recent.sentiment","cumulative.sentiment","overall.clout","recent.clout","cumulative.clout","recent.similarity","mean.wordcount"
"Alicia","Amber",2,22,"Friend",0.8,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,12,"Friend",0.8,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,43,"Rival",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,31,"Rival",0,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,8,"Rival",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,50,"Win",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,57,"Win",1,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,20,"Win",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,54,"Rival",1,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,55,"Friend",0.8,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,19,"Friend",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,2,"Rival",1,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,33,"Friend",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,47,"Rival",0.5,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,32,"Rival",0.5,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,41,"Win",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,48,"Win",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,45,"Friend",0.8,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,52,"Friend",0.8,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,15,"Rival",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,35,"Friend",0.2,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,11,"Win",0.75,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,23,"Friend",1,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,18,"Win",1,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,13,"Rival",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,10,"Win",0.5,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
